textid,words,sylls,ltrvec,perf,isrhymed
79,can man fate hate slips lips cry by grows nose unsatisfied denied gape shape embossed lost ways grace be knee dwell perfectible humanity simplicity bear sphere be steadfastly delight night,an an ate ate ips ips y y ows ose ied ied ape ape ossed ost ays ace e ee ell ible y y ear ere e y ight ight,A A B B C C D D E E F F G G H H I J D D L M D D N N D D O O,1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1,1
80,cried places wayside faces paces,ied es ide es es,A B A B B,0 0 0 0 0,1
81,me sun me gone on,e un e one on,A B A B B,1 1 1 0 0,1
82,slept be crept distantly me,ept e ept y e,A B A B B,1 1 1 0 1,1
83,day quite way sight night,ay uite ay ight ight,A B A B B,1 0 1 1 1,1
84,hush swirled bush curled world,ush irled ush urled orld,A B A C C,1 0 1 0 0,1
85,knew brows grew boughs house,ew ows ew ughs ouse,A B A C B,1 0 1 0 0,1
86,me creep me weep asleep,e eep e eep eep,A B A B B,1 1 1 1 1,1
87,hill grass pass still die on i won,ill ass ass ill ie on i on,A B B A C D E D,1 1 1 1 1 1 0 1,1
88,here said tread were say away,ere aid ead ere ay ay,A B B A C C,1 1 0 1 1 1,1
89,again last pain past,ain ast ain ast,A B A B,1 1 1 1,1
90,been live nineteenten nineteenfive,een ive en ive,A B C B,1 1 1 1,2
91,clear true dear you,ear ue ear ou,A B A B,1 1 1 0,1
92,lover tomb over doom,er omb er oom,A B A B,0 1 0 1,1
93,time above pastime love,ime ove ime ove,A B A B,1 1 1 1,1
94,loves enfold loves old,oves old oves old,A B A B,0 1 0 1,1
95,plenty it nineteentwenty abit,y it y it,A B A B,1 1 1 1,1
96,company lonely revelry only dwell inseparable,y y y y ell able,A A A A B C,1 1 1 1 1 0,1
97,me so see know distress wilderness,e o ee ow ess ess,A B A B C C,1 1 1 1 1 1,1
98,well light dwell night cry sky,ell ight ell ight y y,A B A B C C,1 1 1 1 1 1,1
99,again eyes plain heavens lies surmise hand land cries speck one fly neck die on,ain eyes ain ens ies ise and and ies eck one y eck ie on,A B A C D D E E D F G H F H G,1 0 1 0 0 0 1 1 0 1 1 1 1 1 0,1
100,hill song me strong,ill ong e ong,A B C B,1 1 1 1,2
101,us part go heart,us art o eart,A B C B,1 1 1 1,2
102,not hilltown remember down,ot own er own,A B C B,1 1 0 1,2
103,golden light hill night,en ight ill ight,A B C B,1 1 1 1,2
104,valley here goes fear,ey ere oes ear,A B C B,1 1 0 1,2
105,height knew clear you,eight ew ear ou,A B C D,1 1 1 0,0
106,hill uncomforted i dead,ill orted i ead,A B C D,1 0 0 1,0
107,trentals bread do dead,als ead o ead,A B C B,0 1 1 1,2
108,water afresh creep flesh,er esh eep esh,A B C B,0 1 1 1,2
109,eyes chin you kin,eyes in ou in,A B C B,1 1 0 1,2
110,you away you away,ou ay ou ay,A B A B,1 1 0 1,1
111,sleeping old weeping cold,ing old ing old,A B A B,1 1 1 1,1
112,not place still face,ot ace ill ace,A B C B,1 1 1 1,2
113,handkerchief mirth bury earth,ief irth y earth,A B C B,1 1 1 1,2
114,ungrieving you living knew,ing ou ing ew,A B A B,1 0 1 1,1
115,trentals bread death dead,als ead eath ead,A B C B,0 1 1 1,2
116,handkerchief not wondering rot,ief ot ing ot,A B C B,1 1 1 1,2
117,heaven star sleep ambarvalia,en ar eep ia,A B C D,1 1 1 0,0
118,poet sun it done hymns limbs well smell,oet un it one ymns imbs ell ell,A B C B D E F F,0 1 1 0 0 0 1 1,2
119,old knee hold see face embrace warm arm,old ee old ee ace ace arm arm,A B A B C C D D,1 1 1 1 1 1 1 1,1
120,again told then cold pressed breast surprise eyes,ain old en old essed east ise eyes,A B A B C D E F,1 1 0 1 0 1 1 0,2
121,side wall hide all,ide all ide all,A B A B,1 1 1 1,1
122,beat alone meet one,eat one eet one,A B A B,1 1 1 1,1
123,night town white crown,ight own ite own,A B A B,1 1 1 1,1
124,faces fire places mire,es ire es ire,A B A B,0 1 0 1,1
125,heard go bird flow,eard o ird ow,A B C B,1 1 1 1,2
126,noons beneath moons death,ons eath ons eath,A B A B,0 1 0 1,1
127,still stare hill air,ill are ill air,A B A B,1 1 1 1,1
128,kiss lie is sky,iss ie is y,A B C B,1 1 1 1,2
129,crave prize have sighs knew you,ave ize ave ighs ew ou,A B A C D E,1 1 1 0 1 0,2
130,cell same immutable shame go know,ell ame able ame o ow,A B C B D D,1 1 0 1 1 1,1
131,me town quietly down you you,e own y own ou ou,A B A B C C,1 1 0 1 0 0,1
132,free press emptily loneliness strive gyve even heaven,ee ess y ess ive yve en en,A B A B C C D D,1 1 0 1 1 0 1 1,1
133,broke sate hate smoke strode him dim god,oke ate ate oke ode im im od,A B B A C D D C,1 1 1 1 1 1 1 0,1
134,serene fair way away there queen,ene air ay ay ere een,A B C C B A,1 1 1 1 1 1,1
135,behold years bears scold bold troys voice old,old ars ars old old oys oice old,A B B A A C D A,1 0 0 1 1 0 1 1,1
136,went came impotent name cried side,ent ame ent ame ied ide,A B A B C C,1 1 1 1 0 0,1
137,will feet still street you see view agony,ill eet ill eet ou ee iew y,A B A B C D E D,1 1 1 1 0 1 0 0,1
138,shiver planned head river hand bed,er anned ead er and ed,A B C A D C,0 0 1 0 1 0,1
139,cool fool hands understands know bow grace face love move life loverwife close nose eye die note coat fat that end tend old hold thing lovemaking meaning cleaning forgotten rotten free see you too,ool ool ands ands ow ow ace ace ove ove ife ife ose ose ye ie ote oat at at end end old old ing ing ing ing en en ee ee ou oo,A A B B C C D D E E F F G G H H J J K K L L M M N N N N O O I I P P,1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1,1
140,aquiver exquisitely river me,er y er e,A B A C,0 1 0 1,2
141,glimmer dream dimmer stream,er eam er eam,A B A B,0 1 0 1,1
142,over skies lover eyes,er ies er eyes,A B A C,0 0 0 0,2
143,bending i uncomprehending cry,ing i ing y,A B A C,1 0 1 1,2
144,quiver heart river apart,er eart er art,A B A B,0 1 0 1,1
145,laughter trees after breeze,er ees er eeze,A B A B,0 1 0 1,1
146,clamour there glamour air,our ere our air,A B A B,1 1 1 0,1
147,aquiver brows river boughs,er ows er ughs,A B A C,0 0 0 0,2
148,kings crown wings down do high said eye,ings own ings own o igh aid ye,A B A B C D E D,0 1 0 1 1 1 1 1,1
149,said this head kiss me gay lady way,aid is ead iss e ay y ay,A B A B D E D E,1 1 0 1 1 1 0 1,1
150,see street me feet of knew love you,ee eet e eet of ew ove ou,A B A B C D E F,1 1 0 1 0 1 1 0,2
151,you too all fall tea we by eye cried unmemoried flame came moved loved,ou oo all all ea e y ye ied ied ame ame oved oved,A A B B C C C C D D E E F F,1 1 1 1 1 1 0 0 0 0 1 1 0 0,1
152,otherwhence innocence strange change sky lie knew you,ence ence ange ange y ie ew ou,A A B B C C D E,1 1 1 1 1 1 1 0,1
153,see immortality tea,ee y ea,A A A,1 0 1,1
154,stream gleam smoke broke hair there breathless deathless grew you,eam eam oke oke air ere ess ess ew ou,A A B B C C D D E F,1 1 1 1 1 1 1 1 1 0,1
155,otherwhence magnificence light white glint tint transiency eternity,ence ence ight ite int int y y,A A B B C C D D,1 1 1 1 1 1 1 1,1
156,length strength creep sleep loved moved ground round ended friended distress unconsciousness spell unutterable you knew shone gone stayed played jest best yet eat too you,ength ength eep eep oved oved ound ound ended iended ess ess ell able ou ew one one ayed ayed est est yet eat oo ou,A A B B C C D D E F G G H I J J K K L L M M N O J J,1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0,1
157,stood one sun wood light stream dream height,ood one un ood ight eam eam eight,A B B A C D D C,1 1 0 1 1 1 1 0,1
158,hour her breath flower lover death,our er eath er er eath,A A C A A C,1 0 1 0 0 1,1
159,quick knew sick you ever dole liver soul,uick ew ick ou er ole er oul,A B A D E F E F,1 1 1 0 0 1 0 0,1
160,me throw slimy woe ye belly,e ow y oe ye y,A B A B A A,1 1 0 1 0 0,1
161,desolate sky i hate wait suddenly high gate,ate y i ate ait y igh ate,A B C A A B B A,1 1 0 1 1 1 0 1,1
162,living blossomhung roads flung unforgiving gods,ing ung ads ung ing ods,A B C B A D,1 1 0 1 1 0,1
163,throng wise long fantasies sighs way memories day,ong ise ong ies ighs ay ies ay,A B A B C D B D,1 1 1 1 0 1 1 1,1
164,straying ended light attended swaying night,ying ended ight ended ying ight,A B C B A C,0 0 1 0 0 1,1
165,spring wayfaring call all give live you blue ends friends lie i peace cease space face,ing ing all all ive ive ou ue ends ends ie i eace ease ace ace,A A B B C C D D E E F G H H I I,1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1,1
166,wood solitude gleam dream glance radiance it lit white midnight above grove knew you mirth earth win therein,ood ude eam eam ance iance it it ite ight ove ove ew ou irth earth in ein,A A B B C D E E E E F F G H I I J K,1 0 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1,1
167,shone gone heard word apart heart do you by sky go know,one one eard ord art eart o ou y y o ow,A A B C D D E E F F E E,1 1 1 1 1 1 1 0 1 1 1 1,1
168,pass grass calls petals sun done dew you,ass ass alls als un one ew ou,A A B C D D E F,1 1 0 0 1 0 1 0,2
169,hour sleeping power leaping weary move dreary love,our ing er ing y ove y ove,A B A B C D C D,1 1 0 1 1 1 1 1,1
170,there mending breath there ending death,ere ing eath ere ing eath,A B C A B C,1 1 1 1 1 1,1
171,blest security rest we undying mirth flying earth throwing ever going endeavour fall all,est y est e ying irth ying earth ing er oing our all all,A B A C D E D E F G H I J J,1 1 1 1 0 1 0 1 1 0 0 1 1 1,2
172,dead old gold red be serene been immortality,ead old old ed e ene een y,A B B A C D D C,1 1 1 0 1 1 1 0,1
173,dearth pain earth wage again heritage,earth ain earth age ain age,A B A C B C,1 1 1 1 1 1,1
174,cares mirth theirs earth known friended alone ended,ares irth irs earth own iended one ended,A B A B C D C E,1 1 0 1 1 0 0 0,1
175,laughter after dance white radiance night,er er ance ite iance ight,A A B C D C,0 0 1 1 0 1,1
176,me field be concealed aware roam air home,e ield e ealed are oam air ome,A B A B C D C D,1 1 1 1 1 1 1 1,1
177,away less given day gentleness heaven,ay ess en ay ess en,A B C A B C,1 1 1 1 1 1,1
178,eyes again cries brain close rose,eyes ain ies ain ose ose,A B C B D D,0 1 0 1 1 1,1
179,space store face oer who through light night,ace ore ace oer o ough ight ight,A B A C D D E E,1 1 1 0 1 1 1 1,1
180,ends white friends night agree immortality land understand,ends ite ends ight ee y and and,A B A B C C D D,1 1 1 1 1 0 1 1,1
181,sun paradise one wise there true were knew are star,un ise one ise ere ue ere ew are ar,A B A B C D C D C C,1 1 0 1 1 1 1 1 0 1,1
182,love here grief move disappear be immutability reef sea,ove ere ief ove ear e y eef ea,A B C A B D D C D,1 1 1 1 1 1 0 1 1,1
183,pain brain say again,ain ain ay ain,A A B A,1 1 1 1,1
184,feet matua meet there hair,eet ua eet ere air,A B A C C,1 0 1 1 0,1
185,white ravine night aftergreen,ite ine ight een,A B A C,1 1 1 1,2
186,red head dreams stuff seems love,ed ead ams uff ems ove,A A B C D E,1 1 0 1 0 1,2
187,sway shade fade day ours flowers missing south kissing mouth,ay ade ade ay urs ers ing outh ing outh,A B B A C D E F E F,1 1 1 1 0 0 1 1 1 1,1
188,mamua away moon stray lagoon hand way sand caress foolishness day,ua ay oon ay oon and ay and ess ess ay,A B C B C D B D E E B,0 1 1 1 1 1 1 1 1 1 1,1
189,there deep hair halfasleep after call laughter individual paradise wise,ere eep air eep er all er ual ise ise,A B A B A C A D E E,1 1 0 1 0 1 0 0 1 1,1
190,delight night remember chamber sky by rare air trace face found sound light night sun begun tree quietly hair there dress tenderness me sea known thrown,ight ight er er y y are air ace ace ound ound ight ight un un ee y air ere ess ess e ea own own,A A B B C C D D E E F F A A G G C C D D E E C C H H,1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1 1,1
191,tide died still hill peace cease knew you unstirred word said ungarlanded keep sleep,ide ied ill ill eace ease ew ou irred ord aid anded eep eep,A A B B C C D E F F H I J J,1 1 1 1 1 1 1 0 0 1 1 0 1 1,1
192,days praise astonishment content despair bear life strife far star days praise me see delight night i die hence magnificence names flames know blow streaming cleangleaming dust crust food wood flowers hours moon soon kiss is keen machine touch such fingers lingers names flames spring sing pain train foam home cold mould dew glossynew grass pass hour power death breath trust dust wake make known blown brains remains again men farremoved loved,ays aise ent ent air ear ife ife ar ar ays aise e ee ight ight i ie ence ence ames ames ow ow ing ing ust ust ood ood ers urs oon oon iss is een ine ouch uch ers ers ames ames ing ing ain ain oam ome old ould ew ew ass ass our er eath eath ust ust ake ake own own ins ins ain en oved oved,A A B B C C D D C C A A E E F F G E H H I I J J K K L L M M N O P P Q R S S T T N N I I K K U U V V W W X X Y Y Z Z AA AA L L AB AB P P AC AC U S AD AD,0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0,1
193,june noon clear fear pond beyond swear were good mud see liquidity cry dry near here time slime one begun mind kind fin in hook brook there fair around found flies dies wish fish,une oon ear ear ond yond ear ere ood ud ee y y y ear ere ime ime one un ind ind in in ook ook ere air ound ound ies ies ish ish,A A B B C C B B D D E E E E B B F F G A H H I I J J B B K K L L M M,1 1 1 1 1 0 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1,1
194,know air go fair aside chair know denied,ow air o air ide air ow ied,A B A B C B A C,1 1 1 1 1 1 1 1,1
195,place face wise eyes eclipse passingly lips she,ace ace ise eyes ipse y ips e,A A B C D E D E,1 1 1 0 1 1 1 0,1
196,there hair,ere air,A A,1 0,1
197,said head she bitterly,aid ead e y,A A B B,1 0 1 0,1
198,known own young tongue,own own oung ue,A A B B,1 1 1 0,1
199,over say lover away,er ay er ay,A B A B,0 1 0 1,1
200,naught adore thought more,aught ore ought ore,A B A B,1 1 1 1,1
201,clever you ever you,er ou er ou,A B A B,1 1 0 0,1
202,you you,ou ou,A A,1 1,1
203,stept room gloom slept crept rest breast wept,ept oom oom ept ept est east ept,A B B A A C C A,1 1 1 1 1 1 1 1,1
204,gain ease know these so again,ain ease ow ese o ain,A B C B C A,1 1 1 0 1 1,1
205,day wove spray love sea worth misery mirth,ay ove ay ove ea orth y irth,A B A B A C A C,1 1 1 1 0 1 1 0,1
206,memories skies stone old done mould,ies ies one old one ould,A A B C B C,0 0 1 1 1 0,1
207,tree eyes cries savagery me rise skies sea,ee eyes ies y e ise ies ea,A B C A A C C A,1 0 0 0 0 0 0 1,1
208,again known pain one foolishly sea,ain own ain one y ea,A B A B C C,1 1 1 0 1 0,1
209,years part tears heart crying mood undying quietude,ars art ars eart ying ood ying ude,A B A B C D C D,0 1 0 1 0 1 0 0,1
210,streams dreams men unintelligible when tell,ams ams en ible en ell,A A B C B D,0 0 1 0 1 1,1
211,sun tread dead run air wind find there,un ead ead un air ind ind ere,A B B A C D D C,1 1 1 1 1 1 1 1,1
212,day wise say denies away eyes,ay ise ay ies ay eyes,A B A B A C,1 1 1 1 1 0,1
213,press flow snow loveliness comradeless slow know bless,ess ow ow ess ess ow ow ess,A B B A A B B A,1 1 1 1 1 1 1 1,1
214,remain mirth these train seas earth,ain irth ese ain eas earth,A B C A C B,1 1 1 1 1 1,1
215,strange tide abide change move war star love,ange ide ide ange ove ar ar ove,A B B A C D D C,1 1 1 1 1 1 1 1,1
216,smile over heart awhile apart lover,ile er eart ile art er,A B C A C B,1 0 1 1 1 0,1
217,parted rend emptyhearted end sleeping grain weeping rain wings holy things slowly food quietude,arted end earted end ing ain ing ain ings y ings y ood ude,A B C B D E D E F G F G H H,0 1 0 1 1 1 1 1 0 1 0 1 1 0,1
218,gate again fate then slaking crying taking lying ghost colder most shoulder kiss this,ate ain ate en ing ying ing ying ost er ost er iss is,A B A B C D C D E F E F G G,1 1 1 0 1 0 1 0 1 0 1 0 1 0,1
219,scrap wind kind lap length stir strength her,ap ind ind ap ength ir ength er,A B B A C D C E,1 1 1 1 1 1 1 0,1
220,come me me air home care,ome e e air ome are,A B B C A C,1 1 1 1 1 1,1
221,adorable tenderness well less success,able ess ell ess ess,A B C B B,0 1 1 1 1,1
222,road you wendover hoo do,oad ou er oo o,A B C B B,1 1 0 1 0,1
223,fly fast lie last past,y ast ie ast ast,A B A B B,1 1 1 1 1,1
224,find pain wind rain again,ind ain ind ain ain,A B A B B,1 1 1 1 1,1
225,away end they mend friend,ay end ey end iend,A B A B B,1 1 1 1 0,1
226,find desires wind shires innfires,ind ires ind ires ires,A B A B B,1 0 1 0 0,1
227,hedgerows plain grows lane remain,ows ain ows ane ain,A B A B B,0 1 0 1 1,1
228,perhaps you kindlier true do,aps ou ier ue o,A B C B B,1 1 1 0 0,1
229,night room firelight gloom,ight oom ight oom,A B A B,1 1 1 1,1
230,in there chin hair know chair,in ere in air ow air,A B A B C B,1 1 1 0 1 0,1
231,still hair saw there,ill air aw ere,A B C B,1 1 1 1,2
232,firelight there light chair,ight ere ight air,A B A B,1 1 1 0,1
233,earth sleep gloom creep room sleep,earth eep oom eep oom eep,A B C B C B,1 1 1 1 1 1,1
234,line dies divine eyes,ine ies ine eyes,A B A C,1 0 1 0,2
235,way train sway again,ay ain ay ain,A B A B,1 1 1 1,1
236,rise love eyes move,ise ove eyes ove,A B C B,1 1 0 1,2
237,blowing goes unknowing grows,ing oes ing ows,A B A C,1 0 1 0,2
238,goal room soul gloom,oal oom oul oom,A B A B,1 1 0 1,1
239,streamers fly dreamers die,ers y ers ie,A B A B,0 1 0 1,1
240,things on swings alone,ings on ings one,A B A B,0 1 0 0,1
241,soft again green pain,oft ain een ain,A B B B,1 1 0 1,1
242,numb frore come more,umb ore ome ore,A B C B,0 1 1 1,2
243,woken again buds pain,en ain uds ain,A B C B,1 1 0 1,2
244,meet fair cryingsweet air round laughter befall after,eet air eet air ound er all er,A B A B C D E D,1 1 1 1 1 0 1 0,1
245,met there yet air light laughter years after,et ere yet air ight er ars er,A B A B C B D B,1 1 0 0 1 0 0 0,1
246,this word kiss heard,is ord iss eard,A B A D,1 1 1 1,2
247,so touch know much,o ouch ow uch,A B A B,1 1 1 0,1
248,smart day heart say,art ay eart ay,A B A B,1 1 1 1,1
