textid,poem,endwords,goldvector
35,POEM1,kind learnd mind concernd inclined oerturnd two do,1 2 1 2 1 2 3 3
36,POEM1,merit qualities it moralities spirit realities escape scrape,1 2 1 2 1 2 3 3
37,POEM1,man guard can unprepared fan hard hands understands,1 2 1 2 1 2 3 3
38,POEM1,wed education bred conversation head station intellectual all,1 2 1 2 1 2 3 3
39,POEM1,quarrelldwhy divine try mine vicecuriosity shine affairs cares,1 2 1 2 1 2 3 3
40,POEM1,best kind possessd find confessd behind stairs unawares,1 2 1 2 1 2 3 3
41,POEM1,goodfornothing birth doting earth in forth home come,1 2 1 2 1 2 3 3
42,POEM1,led life dead wife wellbred strife out doubt,1 2 1 2 1 2 3 3
43,POEM1,physicians mad intermissions bad depositions had god odd,1 2 1 2 1 2 3 3
44,POEM1,noted letters quoted abettors doted repeaters judges grudges,1 2 1 2 1 2 3 3
45,POEM1,bore woes yore chose more rose sublimity magnanimity,1 2 1 2 1 2 3 3
46,POEM1,us friends magnanimous ends animus comprehends virtue you,1 2 1 2 1 2 3 3
47,POEM1,stories additional is traditional glories all resurrection dissection,1 2 1 2 1 2 3 3
48,POEM1,reconciliation worse occasion recourse relation divorce side died,1 2 1 2 1 2 3 3
49,POEM1,because collect laws circumspect cause respect occasion sensation,1 2 1 2 1 2 3 3
50,POEM1,lay fees away mistresses say disease tertian aversion,1 2 1 2 1 2 3 3
51,POEM1,man well scan tell outran peaceable pompilius bilious,1 2 1 2 1 2 3 3
52,POEM1,worth him earth him hearth him pride died,1 2 1 2 1 2 3 3
53,POEM1,heir lands care hands fair demands mother another,1 2 1 2 1 2 3 3
54,POEM1,she paragon pedigree aragon chivalry again gunnery nunnery,1 2 1 2 1 2 3 3
55,POEM1,desired all hired moral inquired all mystery history,1 2 1 2 1 2 3 3
56,POEM1,dead abstruse said use read loose species vicious,1 2 1 2 1 2 3 3
57,POEM1,puzzle goddesses bustle bodices tussle odysseys apology mythology,1 2 1 2 1 2 3 3
58,POEM1,him sample poem example hymn ample one corydon,1 2 1 2 1 2 3 3
59,POEM1,strong food wrong good song rude partial martial,1 2 1 2 1 2 3 3
60,POEM1,edition place vision deface omission case appendix index,1 2 1 2 1 2 3 3
61,POEM1,swoop pages troop ages stoop cages together either,1 2 1 2 1 2 3 3
62,POEM1,missal way all they all pray mother another,1 2 1 2 1 2 3 3
63,POEM1,endured saints inured restraints ensured paints confessions transgressions,1 2 1 2 1 2 3 3
64,POEM1,juan right one sight one fright life wife,1 2 1 2 1 2 3 3
65,POEM1,grace eleven face given apace heaven other mother,1 2 1 2 1 2 3 3
66,POEM1,child boy wild destroy toild joy steady already,1 2 1 2 1 2 3 3
67,POEM1,still there skill fair ill pair protest jest,1 2 1 2 1 2 3 3
68,POEM1,nothingnothingbut own put none shut alone college knowledge,1 2 1 2 1 2 3 3
69,POEM1,boast that lost sat most what know so,1 2 1 2 1 2 3 3
70,POEM1,age seemd page deemd rage screamd precocious atrocious,1 2 1 2 1 2 3 3
71,POEM1,all devotion call notion natural ocean cupid stupid,1 2 1 2 1 2 3 3
72,POEM1,eye origin by sin fly kin spain remain,1 2 1 2 1 2 3 3
73,POEM1,pedigree down be frown degree shown nieces increases,1 2 1 2 1 2 3 3
74,POEM1,again flesh spain fresh plain hush grandmamma law,1 2 1 2 1 2 3 3
75,POEM1,on generation son narration one occasion she twentythree,1 2 1 2 1 2 3 3
76,POEM1,eyes fire disguise ire arise desire soul whole,1 2 1 2 1 2 3 3
77,POEM1,brow smooth bow youth glow sooth common woman,1 2 1 2 1 2 3 3
78,POEM1,man plenty one fiveandtwenty sun mente virtue thirty,1 2 1 2 1 2 3 3
79,POEM1,say sun clay on pray undone adultery sultry,1 2 1 2 1 2 3 3
80,POEM1,north season forth reason worth on price vice,1 2 1 2 1 2 3 3
81,POEM1,lord who abhorrd do accord two it it,1 2 1 2 1 2 3 3
82,POEM1,why friend sympathy pennd lie end marriage carriage,1 2 1 2 1 2 3 3
83,POEM1,connection chaste affection best protection taste scandal handle,1 2 1 2 1 2 3 3
84,POEM1,affair own aware shown care grown say way,1 2 1 2 1 2 3 3
85,POEM1,child be styled he smiled twentythree alterations nations,1 2 1 2 1 2 3 3
86,POEM1,become shy dumb eye some why notion ocean,1 2 1 2 1 2 3 3
87,POEM1,kind hand behind bland mind wand art heart,1 2 1 2 1 2 3 3
88,POEM1,more smile store while core wile truth youth,1 2 1 2 1 2 3 3
89,POEM1,betrays sky displays eye arrays hypocrisy hate late,1 2 1 2 1 2 3 3
90,POEM1,suppression theft transgression left possession bereft is novice,1 2 1 2 1 2 3 3
91,POEM1,state make mate sake great quake grace case,1 2 1 2 1 2 3 3
92,POEM1,more mother door another sore other afraid prayd,1 2 1 2 1 2 3 3
93,POEM1,woman temptation man sensation common occasion others brothers,1 2 1 2 1 2 3 3
94,POEM1,tell discover well lover quell over denial trial,1 2 1 2 1 2 3 3
95,POEM1,divine pure fine secure mine sure man ran,1 2 1 2 1 2 3 3
96,POEM1,exist danger kist stranger list ranger crime time,1 2 1 2 1 2 3 3
97,POEM1,limits determination its occasion its persuasion together either,1 2 1 2 1 2 3 3
98,POEM1,fenced soul convinced mole dispensed control equal sequel,1 2 1 2 1 2 3 3
99,POEM1,feasible sixteen seizable mean peaceable serene persuaded did,1 2 1 2 1 2 3 3
100,POEM1,died cross sighd loss betide nos thought naught,1 2 1 2 1 2 3 3
101,POEM1,supposition estate condition late vision great love above,1 2 1 2 1 2 3 3
102,POEM1,juan idea one medea one be alarming charming,1 2 1 2 1 2 3 3
103,POEM1,slow wood know solitude so understood not grot,1 2 1 2 1 2 3 3
104,POEM1,this entwine bliss divine amiss line security obscurity,1 2 1 2 1 2 3 3
105,POEM1,appeals mankind feels find meals entwined before door,1 2 1 2 1 2 3 3
106,POEM1,brooks threw nooks grew books through eligible unintelligible,1 2 1 2 1 2 3 3
107,POEM1,pursued soul mood whole could control condition metaphysician,1 2 1 2 1 2 3 3
108,POEM1,earth stars birth wars girth bars skies eyes,1 2 1 2 1 2 3 3
109,POEM1,discern high learn why concern sky did assisted,1 2 1 2 1 2 3 3
110,POEM1,flowers then bowers men hours again winner dinner,1 2 1 2 1 2 3 3
111,POEM1,book wind look mind shook bind gale tale,1 2 1 2 1 2 3 3
112,POEM1,away wanted lay panted lay granted forget yet,1 2 1 2 1 2 3 3
113,POEM1,reveries eyes ease surprise tease surmise not not,1 2 1 2 1 2 3 3
114,POEM1,common take woman break man mistake jealous us,1 2 1 2 1 2 3 3
115,POEM1,suspicious place wishes disgrace vicious case wholly folly,1 2 1 2 1 2 3 3
116,POEM1,shortsighted discover delighted lover blighted over swears heirs,1 2 1 2 1 2 3 3
117,POEM1,clear occasion near temptation here education eyes prize,1 2 1 2 1 2 3 3
118,POEM1,day season may reason say treason in heroine,1 2 1 2 1 2 3 3
119,POEM1,june dates moon fates tune states chronology theology,1 2 1 2 1 2 3 3
120,POEM1,hour seven bower heaven moore given song long,1 2 1 2 1 2 3 3
121,POEM1,well place tell case befell face wise eyes,1 2 1 2 1 2 3 3
122,POEM1,heart wrong art strong part along immense innocence,1 2 1 2 1 2 3 3
123,POEM1,youth fears truth years sooth endears sunny money,1 2 1 2 1 2 3 3
124,POEM1,times do rhymes too crimes true is louis,1 2 1 2 1 2 3 3
125,POEM1,love swore above wore reprove more thrown own,1 2 1 2 1 2 3 3
126,POEM1,other hair smother air mother pair so so,1 2 1 2 1 2 3 3
127,POEM1,degrees grasp please clasp squeeze asp rouse spouse,1 2 1 2 1 2 3 3
128,POEM1,this do kiss withdrew amiss new speak weak,1 2 1 2 1 2 3 3
129,POEM1,moon they soon day june way smile while,1 2 1 2 1 2 3 3
130,POEM1,hour soul power selfcontrol tower whole throws repose,1 2 1 2 1 2 3 3
131,POEM1,embraced arm placed harm waist charm on begun,1 2 1 2 1 2 3 3
132,POEM1,way more sway core array bore been gobetween,1 2 1 2 1 2 3 3
133,POEM1,sighs conversation eyes occasion wise temptation repented consentconsented,1 2 1 2 1 2 3 3
134,POEM1,reward pleasure hard treasure bard leisure old hold,1 2 1 2 1 2 3 3
135,POEM1,thing doubt spring out wing throughout ashamed reclaimd,1 2 1 2 1 2 3 3
136,POEM1,take hence quake licence make sense fit bit,1 2 1 2 1 2 3 3
137,POEM1,will day skill away still say sure obscure,1 2 1 2 1 2 3 3
138,POEM1,hear deep gondolier sweep appear creep high sky,1 2 1 2 1 2 3 3
139,POEM1,bark home mark come lark hum birds words,1 2 1 2 1 2 3 3
140,POEM1,grapes earth escapes mirth heaps birth women seamen,1 2 1 2 1 2 3 3
141,POEM1,sweet lady complete already seat steady its postobits,1 2 1 2 1 2 3 3
142,POEM1,laurels end quarrels friend barrels defend spot forgot,1 2 1 2 1 2 3 3
143,POEM1,all alone fall known recall shown unforgiven heaven,1 2 1 2 1 2 3 3
144,POEM1,use arts produce parts loose marts your imposture,1 2 1 2 1 2 3 3
145,POEM1,seen pockets guillotine sockets been rockets pox ox,1 2 1 2 1 2 3 3
146,POEM1,potatoes grinning apparatus beginning gratis spinning late great,1 2 1 2 1 2 3 3
147,POEM1,america return say turn way learn is pseudosyphilis,1 2 1 2 1 2 3 3
148,POEM1,inventions souls intentions coals mentions poles true waterloo,1 2 1 2 1 2 3 3
149,POEM1,what measure that pleasure at treasure when then,1 2 1 2 1 2 3 3
150,POEM1,you story few hoary blue promontory rock oclock,1 2 1 2 1 2 3 3
151,POEM1,night loud bright crowd light cloud that chat,1 2 1 2 1 2 3 3
152,POEM1,bed door dead before read more fist madammadamhist,1 2 1 2 1 2 3 3
153,POEM1,master back disaster watchalack faster crack fly high,1 2 1 2 1 2 3 3
154,POEM1,arrived number wived slumber contrived encumber contagious outrageous,1 2 1 2 1 2 3 3
155,POEM1,suspicion head condition illbred admonition bed sword abhorrd,1 2 1 2 1 2 3 3
156,POEM1,sleep slept weep adept heap crept trouble double,1 2 1 2 1 2 3 3
157,POEM1,maid who afraid two laid through say away,1 2 1 2 1 2 3 3
158,POEM1,cried mean died been betide spleen kill will,1 2 1 2 1 2 3 3
159,POEM1,everywhere windowseat pair complete fair neat swords boards,1 2 1 2 1 2 3 3
160,POEM1,found sought ground nought round thought blunder under,1 2 1 2 1 2 3 3
161,POEM1,tongue cried wrong bride long side remain spain,1 2 1 2 1 2 3 3
162,POEM1,more name threescore same explore fame alfonso so,1 2 1 2 1 2 3 3
163,POEM1,hold sex old vex scold perplex married miscarried,1 2 1 2 1 2 3 3
164,POEM1,eer seville anywhere revel were uncivil oreilly vilely,1 2 1 2 1 2 3 3
165,POEM1,cazzani vain corniani spain many pain peer year,1 2 1 2 1 2 3 3
166,POEM1,feet nunez treat is beat is trigger figure,1 2 1 2 1 2 3 3
167,POEM1,journey indispensable attorney sensible he defensible fee me,1 2 1 2 1 2 3 3
168,POEM1,deposition proceed condition need precision feed out out,1 2 1 2 1 2 3 3
169,POEM1,there over armchair lover care discover treasure pleasure,1 2 1 2 1 2 3 3
170,POEM1,thrown all known cal shown tall stain vain,1 2 1 2 1 2 3 3
171,POEM1,years slaughter fears water tears daughter hour power,1 2 1 2 1 2 3 3
172,POEM1,jealous side fellows hide us abide be company,1 2 1 2 1 2 3 3
173,POEM1,more show oer slow before so grief pockethandkerchief,1 2 1 2 1 2 3 3
174,POEM1,pale tears veil appears fail uprears apart heart,1 2 1 2 1 2 3 3
175,POEM1,confused room abused whom amused tomb cause laws,1 2 1 2 1 2 3 3
176,POEM1,stood there attitude care good fair these witnesses,1 2 1 2 1 2 3 3
177,POEM1,looks figure nooks rigour selfrebukes vigour halfhour thundershower,1 2 1 2 1 2 3 3
178,POEM1,excuse sobs whose throbs choose jobs relations patience,1 2 1 2 1 2 3 3
179,POEM1,stammer before hammer more her oer did bid,1 2 1 2 1 2 3 3
180,POEM1,comitatus door as sore hiatus wore case face,1 2 1 2 1 2 3 3
181,POEM1,shame womankind fame blind name behind said bed,1 2 1 2 1 2 3 3
182,POEM1,say where lay square may pair shut butt,1 2 1 2 1 2 3 3
183,POEM1,because sin laws begin gnaws in evil devil,1 2 1 2 1 2 3 3
184,POEM1,notion chronicle potion belle motion well applied died,1 2 1 2 1 2 3 3
185,POEM1,back away rack play attack day speak cheek,1 2 1 2 1 2 3 3
186,POEM1,hand hair command despair stand there deposit closet,1 2 1 2 1 2 3 3
187,POEM1,night mood fright good plight blood place face,1 2 1 2 1 2 3 3
188,POEM1,cavalier haste here taste near fast keep sleep,1 2 1 2 1 2 3 3
189,POEM1,alone maid gone obeyd none stayd view withdrew,1 2 1 2 1 2 3 3
190,POEM1,begun proceeding done illbreeding none pleading whole rigmarole,1 2 1 2 1 2 3 3
191,POEM1,rose enables knows tables pose fables he three,1 2 1 2 1 2 3 3
192,POEM1,grounds known confounds shown abounds alone ear dear,1 2 1 2 1 2 3 3
193,POEM1,two alluded who concluded true brooded say way,1 2 1 2 1 2 3 3
194,POEM1,enough tact stuff compact rough fact grace face,1 2 1 2 1 2 3 3
195,POEM1,i use reply profuse sigh loose up sup,1 2 1 2 1 2 3 3
196,POEM1,pardon granted on wanted garden haunted refuse shoes,1 2 1 2 1 2 3 3
197,POEM1,they these say seize welladay freeze fashion passion,1 2 1 2 1 2 3 3
198,POEM1,sword flew word through explored gardenkeyflyflyadieu feet street,1 2 1 2 1 2 3 3
199,POEM1,advice late price fate trice gardengate dressinggown down,1 2 1 2 1 2 3 3
200,POEM1,light fire fight desire night higher tartar martyr,1 2 1 2 1 2 3 3
201,POEM1,it hand it command it land lives widowswives,1 2 1 2 1 2 3 3
202,POEM1,foe away flow lay blow way there pair,1 2 1 2 1 2 3 3
203,POEM1,found before swoond door ground more about out,1 2 1 2 1 2 3 3
204,POEM1,say night way plight day light divorce course,1 2 1 2 1 2 3 3
205,POEM1,proceedings full pleadings annul readings dull gurney journey,1 2 1 2 1 2 3 3
206,POEM1,train scandals spain vandals vain candles ladies cadiz,1 2 1 2 1 2 3 3
207,POEM1,through sea new italy do she better letter,1 2 1 2 1 2 3 3
208,POEM1,depart pain heart again art stain appears tears,1 2 1 2 1 2 3 3
209,POEM1,lost esteem cost dream boast deem rest request,1 2 1 2 1 2 3 3
210,POEM1,apart range mart exchange heart estrange one undone,1 2 1 2 1 2 3 3
211,POEM1,pride oer hide core aside before meno go,1 2 1 2 1 2 3 3
212,POEM1,yet mind set wind forget blind pole soul,1 2 1 2 1 2 3 3
213,POEM1,still sheet fulfil complete kill meet adieu you,1 2 1 2 1 2 3 3
214,POEM1,paper new taper do her partout cornelian vermilion,1 2 1 2 1 2 3 3
215,POEM1,whether is altogether this feather caprice experience hence,1 2 1 2 1 2 3 3
216,POEM1,be containing sea reigning three training homer misnomer,1 2 1 2 1 2 3 3
217,POEM1,time rules sublime fools rhyme tools machinery scenery,1 2 1 2 1 2 3 3
218,POEM1,between before ween more seen bore through true,1 2 1 2 1 2 3 3
219,POEM1,appeal facts feel acts deal exacts seville devil,1 2 1 2 1 2 3 3
220,POEM1,prose which those enrich knows pitch bottle aristotle,1 2 1 2 1 2 3 3
221,POEM1,pope southey hope mouthy cope drouthy nor moore,1 2 1 2 1 2 3 3
222,POEM1,assert pray hurt say pert gay show go,1 2 1 2 1 2 3 3
223,POEM1,blind despise mind eyes find lies make mistake,1 2 1 2 1 2 3 3
224,POEM1,expect moral connect coral recollect laurel skittish british,1 2 1 2 1 2 3 3
225,POEM1,editor post creditor roast her cost honey money,1 2 1 2 1 2 3 3
226,POEM1,alliance defy science i clients try quarterly martyrly,1 2 1 2 1 2 3 3
227,POEM1,juventa so a ago brenta blow thing king,1 2 1 2 1 2 3 3
228,POEM1,grey forty day i may i principal invincible,1 2 1 2 1 2 3 3
229,POEM1,me dew see new bee grew power flower,1 2 1 2 1 2 3 3
230,POEM1,heart universe apart curse art worse judgment lodgment,1 2 1 2 1 2 3 3
231,POEM1,more widow before do oer too vice avarice,1 2 1 2 1 2 3 3
232,POEM1,broken pleasure token leisure spoken treasure betimes rhymes,1 2 1 2 1 2 3 3
233,POEM1,fill paper hill vapour kill taper dust bust,1 2 1 2 1 2 3 3
234,POEM1,king pyramid thing hid rummaging lid hopes cheops,1 2 1 2 1 2 3 3
235,POEM1,philosophy alas die grass unpleasantly pass worse purse,1 2 1 2 1 2 3 3
236,POEM1,and i hand goodbye understand try sample example,1 2 1 2 1 2 3 3
237,POEM1,solitude ways good days understood praise line mine,1 2 1 2 1 2 3 3
238,POEM2,nations spain occasions pain educations vain he modesty,1 2 1 2 1 2 3 3
239,POEM2,school fourth cool north rule worth divorce course,1 2 1 2 1 2 3 3
240,POEM2,all was mathematical ass natural pass unity opportunity,1 2 1 2 1 2 3 3
241,POEM2,axis tails taxes sails us exhales fame name,1 2 1 2 1 2 3 3
242,POEM2,cadiz well is rebel ladies swell strike like,1 2 1 2 1 2 3 3
243,POEM2,barb gazelle garb dwell absorb ankleswell ready steady,1 2 1 2 1 2 3 3
244,POEM2,veil hand pale land fail plannd volley fazzioli,1 2 1 2 1 2 3 3
245,POEM2,sent embark intent dark meant ark earth forth,1 2 1 2 1 2 3 3
246,POEM2,things received springs grieved stings believed it credit,1 2 1 2 1 2 3 3
247,POEM2,away school play fool day stool education generation,1 2 1 2 1 2 3 3
248,POEM2,way rough bay enough spray weathertough again spain,1 2 1 2 1 2 3 3
249,POEM2,sight through quite new white blue distance existence,1 2 1 2 1 2 3 3
250,POEM2,deck swore speck bore beefsteak before true you,1 2 1 2 1 2 3 3
251,POEM2,stern far learn war concern ajar people steeple,1 2 1 2 1 2 3 3
252,POEM2,leave wife grieve life heave strife endears tears,1 2 1 2 1 2 3 3
253,POEM2,jews sion muse on amuse on portmanteau canto,1 2 1 2 1 2 3 3
254,POEM2,thought sea quote she brought he situation reformation,1 2 1 2 1 2 3 3
255,POEM2,cried more died shore glide oer drew through,1 2 1 2 1 2 3 3
256,POEM2,swear be air sea fair thee physic seasick,1 2 1 2 1 2 3 3
257,POEM2,sicker wo liquor below quicker so beseeching retching,1 2 1 2 1 2 3 3
258,POEM2,heart attends art friends part ends pathetic i,1 2 1 2 1 2 3 3
259,POEM2,hold heat cold treat bold meet sigh eye,1 2 1 2 1 2 3 3
260,POEM2,pain bowels vein towels reign else roar before,1 2 1 2 1 2 3 3
261,POEM2,trinidada leghorn moncada born a morn by italy,1 2 1 2 1 2 3 3
262,POEM2,and pedrillo understand pillow land billow made afraid,1 2 1 2 1 2 3 3
263,POEM2,wind gale mind pale kind sail blow so,1 2 1 2 1 2 3 3
264,POEM2,shift sea rift the lift jeopardy sound found,1 2 1 2 1 2 3 3
265,POEM2,put set not yet but bet puzzling muslin,1 2 1 2 1 2 3 3
266,POEM2,ingredients down expedients known hence upthrown undone london,1 2 1 2 1 2 3 3
267,POEM2,abate reduce yet use late loose transcends ends,1 2 1 2 1 2 3 3
268,POEM2,upset decks forget wrecks regret necks divers survivors,1 2 1 2 1 2 3 3
269,POEM2,away went lay intent they meant blighted righted,1 2 1 2 1 2 3 3
270,POEM2,this unquiet amiss diet his riot ask cask,1 2 1 2 1 2 3 3
271,POEM2,calms was psalms bas qualms maws devotion ocean,1 2 1 2 1 2 3 3
272,POEM2,for years before fears door tears sunk drunk,1 2 1 2 1 2 3 3
273,POEM2,be no me below he blow tutor suitor,1 2 1 2 1 2 3 3
274,POEM2,aghast lamentation last reformation past occupation salamanca panca,1 2 1 2 1 2 3 3
275,POEM2,more gone shore own before grown bale sail,1 2 1 2 1 2 3 3
276,POEM2,past effect mast expect last wreckd once lyons,1 2 1 2 1 2 3 3
277,POEM2,thence away dispense day commence say luck duck,1 2 1 2 1 2 3 3
278,POEM2,less hope distress cope mess telescope sight night,1 2 1 2 1 2 3 3
279,POEM2,blew hold knew bold through rolld are war,1 2 1 2 1 2 3 3
280,POEM2,tears he years sea fears be children bewildering,1 2 1 2 1 2 3 3
281,POEM2,now gone vow none bow one absolution confusion,1 2 1 2 1 2 3 3
282,POEM2,on fair sun hair begun aware sea lee,1 2 1 2 1 2 3 3
283,POEM2,condition distress provision less inanition stress butter cutter,1 2 1 2 1 2 3 3
284,POEM2,stow wet so get below met luncheon puncheon,1 2 1 2 1 2 3 3
285,POEM2,had gale bad sail lad rail stored board,1 2 1 2 1 2 3 3
286,POEM2,down veil frown assail shown pale fear here,1 2 1 2 1 2 3 3
287,POEM2,raft sea laughd be quaffd glee hysterical miracle,1 2 1 2 1 2 3 3
288,POEM2,spars loose tars use stars crews port short,1 2 1 2 1 2 3 3
289,POEM2,farewell brave yell grave hell wave enemy die,1 2 1 2 1 2 3 3
290,POEM2,rushd crash hushd dash gushd splash cry agony,1 2 1 2 1 2 3 3
291,POEM2,before crew more blew shore few boat afloat,1 2 1 2 1 2 3 3
292,POEM2,souls alas rolls mass coals pass dead said,1 2 1 2 1 2 3 3
293,POEM2,there place care face pair case tita aquavita,1 2 1 2 1 2 3 3
294,POEM2,save loss wave cross grave close minute it,1 2 1 2 1 2 3 3
295,POEM2,joses think reposes brink noses sink steppd leapd,1 2 1 2 1 2 3 3
296,POEM2,could too would do renewd through ill spaniel,1 2 1 2 1 2 3 3
297,POEM2,yet seas set breeze wet ease dampd swampd,1 2 1 2 1 2 3 3
298,POEM2,still mast ill fast fill surpassd cutter butter,1 2 1 2 1 2 3 3
299,POEM2,sign run fine done wine begun bags rags,1 2 1 2 1 2 3 3
300,POEM2,space exertion case immersion place tertian boat coat,1 2 1 2 1 2 3 3
301,POEM2,life physicians wife conditions knife visions longevity brevity,1 2 1 2 1 2 3 3
302,POEM2,annuities why is die is supply way pay,1 2 1 2 1 2 3 3
303,POEM2,boat bear thought tear lot there cargo argo,1 2 1 2 1 2 3 3
304,POEM2,production day suction prey construction way question digestion,1 2 1 2 1 2 3 3
305,POEM2,crew calm renew balm blue qualm provision precision,1 2 1 2 1 2 3 3
306,POEM2,foreseen wine then dine men fine brittle victual,1 2 1 2 1 2 3 3
307,POEM2,air child there mild pair wild entreating eating,1 2 1 2 1 2 3 3
308,POEM2,hide because died jaws denied forepaws who too,1 2 1 2 1 2 3 3
309,POEM2,sun sea none savagely done see arise eyes,1 2 1 2 1 2 3 3
310,POEM2,who round grew sound knew found blood food,1 2 1 2 1 2 3 3
311,POEM2,shared shoes despaird choose prepared muse better letter,1 2 1 2 1 2 3 3
312,POEM2,handed distribution demanded pollution it resolution neuter tutor,1 2 1 2 1 2 3 3
313,POEM2,death bled breath dead faith bred kissd wrist,1 2 1 2 1 2 3 3
314,POEM2,fee pains he veins sea brains billow pedrillo,1 2 1 2 1 2 3 3
315,POEM2,four food before could more should disaster master,1 2 1 2 1 2 3 3
316,POEM2,fact extreme act blaspheme rackd mountainstream swearing despairing,1 2 1 2 1 2 3 3
317,POEM2,infliction knows recollection woes dissection those madly sadly,1 2 1 2 1 2 3 3
318,POEM2,mate because fate was late clause cadiz ladies,1 2 1 2 1 2 3 3
319,POEM2,remaind afraid constraind made abstaind lead noddy body,1 2 1 2 1 2 3 3
320,POEM2,be condescends archenemy ends sea friends scanty dante,1 2 1 2 1 2 3 3
321,POEM2,rain earth pain worth spain berth bell well,1 2 1 2 1 2 3 3
322,POEM2,richer sheet pitcher complete ditcher sweet thinking drinking,1 2 1 2 1 2 3 3
323,POEM2,crack streamd black screamd back seemd indeed creed,1 2 1 2 1 2 3 3
324,POEM2,crew one view gone threw done thrown groan,1 2 1 2 1 2 3 3
325,POEM2,child delicate mild fate smiled weight heart part,1 2 1 2 1 2 3 3
326,POEM2,raised foam gazed come glazed roam rain vain,1 2 1 2 1 2 3 3
327,POEM2,clay last lay past away cast shivering quivering,1 2 1 2 1 2 3 3
328,POEM2,through sea blue be hue free then men,1 2 1 2 1 2 3 3
329,POEM2,chameleon sun vermilion dun pavilion one scuffle muffle,1 2 1 2 1 2 3 3
330,POEM2,omen then roman when men again hope kaleidoscope,1 2 1 2 1 2 3 3
331,POEM2,bird size errd eyes heard guise till still,1 2 1 2 1 2 3 3
332,POEM2,remark perch bark church ark search fall all,1 2 1 2 1 2 3 3
333,POEM2,blow out low about no doubt guns once,1 2 1 2 1 2 3 3
334,POEM2,away swore ray more bay shore grew view,1 2 1 2 1 2 3 3
335,POEM2,tears stare fears care years were head dead,1 2 1 2 1 2 3 3
336,POEM2,water kind her mind matter behind chance deliverance,1 2 1 2 1 2 3 3
337,POEM2,coast drew lost knew tost blew highlands islands,1 2 1 2 1 2 3 3
338,POEM2,gale shore pale four avail before dashd splashd,1 2 1 2 1 2 3 3
339,POEM2,done to son crew one few selfslaughter water,1 2 1 2 1 2 3 3
340,POEM2,seen there green air screen bare sweep deep,1 2 1 2 1 2 3 3
341,POEM2,man they ran lay began spray better her,1 2 1 2 1 2 3 3
342,POEM2,guadalquivir wont river account ever hellespont prided did,1 2 1 2 1 2 3 3
343,POEM2,stark ply dark dry shark thigh swim him,1 2 1 2 1 2 3 3
344,POEM2,oar washd more dashd sore lashd he sea,1 2 1 2 1 2 3 3
345,POEM2,clung wave wrung grave flung cave pain vain,1 2 1 2 1 2 3 3
